# SPDX-FileCopyrightText: © 2026 OpenCHAMI a Series of LF Projects, LLC
# SPDX-License-Identifier: MIT
source	start	end	statements	category	classification	rationale
cmd/boot/bmc/add.go	44.5	45.1	1	1	reachable and behaviorally important	reachable command, configuration, or client behavior
cmd/boot/bmc/add.go	48.5	49.1	1	1	reachable and behaviorally important	reachable command, configuration, or client behavior
cmd/boot/bmc/add.go	65.5	66.1	1	1	reachable and behaviorally important	reachable command, configuration, or client behavior
cmd/boot/bmc/add.go	166.5	167.1	1	1	reachable and behaviorally important	reachable command, configuration, or client behavior
cmd/boot/bmc/delete.go	32.4	33.1	1	1	reachable and behaviorally important	reachable command, configuration, or client behavior
cmd/boot/bmc/delete.go	43.3	44.1	1	1	reachable and behaviorally important	reachable command, configuration, or client behavior
cmd/boot/bmc/delete.go	86.5	87.1	1	1	reachable and behaviorally important	reachable command, configuration, or client behavior
cmd/boot/bmc/get.go	32.5	33.1	1	1	reachable and behaviorally important	reachable command, configuration, or client behavior
cmd/boot/bmc/get.go	43.5	44.1	1	1	reachable and behaviorally important	reachable command, configuration, or client behavior
cmd/boot/bmc/get.go	52.6	53.1	1	1	reachable and behaviorally important	reachable command, configuration, or client behavior
cmd/boot/bmc/get.go	59.5	60.1	1	1	reachable and behaviorally important	reachable command, configuration, or client behavior
cmd/boot/bmc/list.go	27.5	28.1	1	1	reachable and behaviorally important	reachable command, configuration, or client behavior
cmd/boot/bmc/list.go	49.5	50.1	1	1	reachable and behaviorally important	reachable command, configuration, or client behavior
cmd/boot/bmc/patch.go	69.5	70.1	1	1	reachable and behaviorally important	reachable command, configuration, or client behavior
cmd/boot/bmc/patch.go	80.5	81.1	1	1	reachable and behaviorally important	reachable command, configuration, or client behavior
cmd/boot/bmc/patch.go	89.6	90.1	1	1	reachable and behaviorally important	reachable command, configuration, or client behavior
cmd/boot/bmc/patch.go	93.6	94.1	1	1	reachable and behaviorally important	reachable command, configuration, or client behavior
cmd/boot/bmc/patch.go	99.7	100.1	1	1	reachable and behaviorally important	reachable command, configuration, or client behavior
cmd/boot/bmc/patch.go	103.7	104.1	1	1	reachable and behaviorally important	reachable command, configuration, or client behavior
cmd/boot/bmc/set.go	32.3	33.1	1	1	reachable and behaviorally important	reachable command, configuration, or client behavior
cmd/boot/bmc/set.go	45.5	46.1	1	1	reachable and behaviorally important	reachable command, configuration, or client behavior
cmd/boot/bmc/set.go	49.5	50.1	1	1	reachable and behaviorally important	reachable command, configuration, or client behavior
cmd/boot/bmc/set.go	62.5	63.1	1	1	reachable and behaviorally important	reachable command, configuration, or client behavior
cmd/boot/bmc/set.go	66.5	67.1	1	1	reachable and behaviorally important	reachable command, configuration, or client behavior
cmd/boot/bmc/set.go	129.5	130.1	1	1	reachable and behaviorally important	reachable command, configuration, or client behavior
cmd/boot/config/add.go	32.3	33.1	1	1	reachable and behaviorally important	reachable command, configuration, or client behavior
cmd/boot/config/add.go	44.5	45.1	1	1	reachable and behaviorally important	reachable command, configuration, or client behavior
cmd/boot/config/add.go	48.5	49.1	1	1	reachable and behaviorally important	reachable command, configuration, or client behavior
cmd/boot/config/add.go	65.5	66.1	1	1	reachable and behaviorally important	reachable command, configuration, or client behavior
cmd/boot/config/add.go	177.5	178.1	1	1	reachable and behaviorally important	reachable command, configuration, or client behavior
